person,dept,eow,cause
"Constable Abraham Obadiah Hamon, Jr.","Gonzales County Constable's Office - Precinct 7, TX","EOW: Tuesday, September 7, 1943",Cause: Gunfire
Patrolman Claude Thomas Parks,"Newport News Police Department, VA","EOW: Friday, September 10, 1943",Cause: Motorcycle crash
Trooper Charles P. Corbin,"Missouri State Highway Patrol, MO","EOW: Wednesday, September 15, 1943",Cause: Vehicular assault
Sergeant Matthew McCormick,"New York City Police Department, NY","EOW: Sunday, September 19, 1943",Cause: Struck by vehicle
Detective Albert Theodore Lorch,"Allegheny County Police Department, PA","EOW: Friday, October 1, 1943",Cause: Gunfire
Chief of Police James W. Smith,"Falmouth Police Department, KY","EOW: Sunday, October 10, 1943",Cause: Gunfire
Private First Class Milton H. Rehe,"United States Army Military Police Corps, US","EOW: Tuesday, October 19, 1943",Cause: Gunfire
Police Officer William S. Knight,"Baltimore City Police Department, MD","EOW: Sunday, November 7, 1943",Cause: Gunfire
Guard Clarence Cox,"Georgia Department of Corrections, GA","EOW: Monday, November 8, 1943",Cause: Gunfire
Policeman Juan R. Longoria-Torres,"Puerto Rico Police Department, PR","EOW: Saturday, November 13, 1943",Cause: Gunfire
Deputy Sheriff Walter John Leinberger,"Yolo County Sheriff's Office, CA","EOW: Thursday, November 18, 1943",Cause: Gunfire
Officer George P. Lancaster,"Spokane Police Department, WA","EOW: Thursday, November 18, 1943",Cause: Motorcycle crash
Deputy Sheriff Charlie Ramsey,"Rockcastle County Sheriff's Office, KY","EOW: Saturday, November 27, 1943",Cause: Gunfire
Officer Richard S. Booth,"Tampa Police Department, FL","EOW: Sunday, November 28, 1943",Cause: Motorcycle crash
Constable Curtis James Pope,"Lancaster County Magistrate's Office, SC","EOW: Saturday, December 11, 1943",Cause: Assault
Trooper Ross S. Creach,"Missouri State Highway Patrol, MO","EOW: Sunday, December 12, 1943",Cause: Vehicular assault
Chief Sergeant W. H. Riley,"Oklahoma Department of Corrections, OK","EOW: Monday, December 13, 1943",Cause: Stabbed
Town Sergeant Abb Kimball Fleming,"Kenbridge Police Department, VA","EOW: Thursday, December 16, 1943",Cause: Gunfire
Deputy Sheriff James Cornett,"Perry County Sheriff's Office, KY","EOW: Friday, December 24, 1943",Cause: Gunfire
Trooper James R. Gohery,"New York State Police, NY","EOW: Wednesday, December 29, 1943",Cause: Vehicle pursuit
Patrolman Patrick Joseph Malone,"New York City Police Department, NY","EOW: Wednesday, January 5, 1944",Cause: Vehicular assault
Deputy Sheriff Jess Claude White,"Ellis County Sheriff's Department, TX","EOW: Saturday, January 8, 1944",Cause: Gunfire
Sergeant Patrick Ryan,"Cleveland Division of Police, OH","EOW: Friday, January 14, 1944",Cause: Automobile crash
Sergeant Irving I. Snyder,"United States War Department - Naval Civilian Police, US","EOW: Friday, January 14, 1944",Cause: Heart attack
Chief of Police Walter S. Dukes,"Branchville Police Department, SC","EOW: Sunday, January 16, 1944",Cause: Gunfire
Deputy Sheriff Gary E. Fairey,"Orangeburg County Sheriff's Office, SC","EOW: Thursday, January 20, 1944",Cause: Gunfire
Policeman Ernesto Torres-Rivera,"Puerto Rico Police Department, PR","EOW: Saturday, January 22, 1944",Cause: Gunfire
Constable Clarence Wesley Reed,"Williamson County Constable's Office, TN","EOW: Friday, January 28, 1944",Cause: Gunfire
Police Officer Joseph C. Waldsachs,"Baltimore City Police Department, MD","EOW: Saturday, January 29, 1944",Cause: Fall
Chief of Police John James Faircloth,"Cadwell Police Department, GA","EOW: Sunday, February 6, 1944",Cause: Gunfire
Patrolman Eugene J. Mahoney,"New York City Police Department, NY","EOW: Sunday, February 6, 1944",Cause: Automobile crash
Deputy Sheriff Roy Curtis,"Crittenden County Sheriff's Department, AR","EOW: Wednesday, February 9, 1944",Cause: Gunfire
Police Officer Joseph P. McCormack,"Greenwich Police Department, CT","EOW: Thursday, February 10, 1944",Cause: Gunfire
Police Officer Jesse F. Beerbower,"Leesburg Police Department, FL","EOW: Sunday, February 13, 1944",Cause: Gunfire
Officer Forrest C. Gerken,"California Highway Patrol, CA","EOW: Tuesday, February 15, 1944",Cause: Motorcycle crash
Policeman James Oscar Summers,"Los Angeles Police Department, CA","EOW: Saturday, March 4, 1944",Cause: Assault
Police Officer Arthur Simpson,"Riverside Police Department, CA","EOW: Sunday, March 5, 1944",Cause: Gunfire
Special Patrolman George Henry Haas,"Emeryville Police Department, CA","EOW: Wednesday, March 8, 1944",Cause: Gunfire
Sergeant Forest Underwood,"California Highway Patrol, CA","EOW: Thursday, March 9, 1944",Cause: Gunfire
Deputy Sheriff Roy Bower Hazen,"Chemung County Sheriff's Department, NY","EOW: Thursday, March 9, 1944",Cause: Automobile crash
Deputy Sheriff Gordon E. Brinthaupt,"Chemung County Sheriff's Department, NY","EOW: Thursday, March 9, 1944",Cause: Automobile crash
Patrolman Alva N. Mead,"St. Joseph Police Department, MO","EOW: Saturday, March 18, 1944",Cause: Gunfire
Patrolman Arthur F. Eggers,"New York City Police Department, NY","EOW: Monday, March 27, 1944",Cause: Struck by vehicle
Patrolman George Kirk,"Lorain Police Department, OH","EOW: Thursday, March 30, 1944",Cause: Fall
Deputy Sheriff John Edward Penney,"Franklin County Sheriff's Department, TN","EOW: Thursday, April 6, 1944",Cause: Gunfire
Captain Pierce W. Farr,"Waycross Police Department, GA","EOW: Sunday, April 9, 1944",Cause: Gunfire
Police Officer Ray E. Rogers,"South Pasadena Police Department, CA","EOW: Saturday, April 15, 1944",Cause: Motorcycle crash
Motorcycle Officer Gordon Udell Warrick,"Beaumont Police Department, TX","EOW: Saturday, April 15, 1944",Cause: Vehicular assault
Private Joseph E. Shawhan,"United States Department of the Interior - United States Park Police, US","EOW: Saturday, April 15, 1944",Cause: Vehicle pursuit
Chief of Police Virgil Smith,"Beattyville Police Department, KY","EOW: Saturday, April 22, 1944",Cause: Gunfire
Police Officer Wallace J. Muscovich,"Oakland Police Department, CA","EOW: Sunday, April 23, 1944",Cause: Gunfire
Patrolman Fred Disel,"Toledo Police Department, OH","EOW: Saturday, May 6, 1944",Cause: Motorcycle crash
"Detective Michael J. Ellis, Jr.","San Antonio Police Department, TX","EOW: Thursday, May 11, 1944",Cause: Gunfire
Sergeant Joseph Curtis,"New York City Police Department, NY","EOW: Friday, May 12, 1944",Cause: Heart attack
Supernumerary Ernest W. Schilke,"Bristol Police Department, CT","EOW: Wednesday, May 17, 1944",Cause: Exposure to toxins
Officer John A. Reed,"California Highway Patrol, CA","EOW: Thursday, May 18, 1944",Cause: Vehicle pursuit
Patrolman Houston Greene,"Kentucky Highway Patrol, KY","EOW: Thursday, May 18, 1944",Cause: Gunfire
Police Officer Eugene J. Chavis,"Philadelphia Police Department, PA","EOW: Saturday, May 20, 1944",Cause: Vehicular assault
Constable Lee Olen Jones,"Cameron County Constable's Office - Precinct 4, TX","EOW: Sunday, May 21, 1944",Cause: Gunfire
Constable John L. Taylor,"Wake Forest Police Department, NC","EOW: Tuesday, May 30, 1944",Cause: Gunfire
Police Officer John E. Zeh,"Detroit Police Department, MI","EOW: Sunday, June 4, 1944",Cause: Motorcycle crash
Lieutenant Kenneth W. Stevens,"Connecticut State Police, CT","EOW: Tuesday, June 6, 1944",Cause: Heart attack
Sergeant John W. O'Neil,"Minneapolis Police Department, MN","EOW: Wednesday, June 7, 1944",Cause: Drowned
Deputy Sheriff Con Burns,"Lynn County Sheriff's Department, TX","EOW: Thursday, June 8, 1944",Cause: Gunfire
"Town Marshal George I. ""Senie"" Worthen","Union Police Department, MS","EOW: Sunday, June 11, 1944",Cause: Gunfire
Patrolman Alva H. Burnett,"Pierre Police Department, SD","EOW: Sunday, June 11, 1944",Cause: Gunfire
Deputy Sheriff William E. Atkinson,"Dallas County Sheriff's Department, AR","EOW: Monday, June 12, 1944",Cause: Vehicle pursuit
Patrolman Elliote Holmes,"New York City Police Department, NY","EOW: Thursday, June 15, 1944",Cause: Heart attack
Sheriff Fred A. Bigalow,"Niagara County Sheriff's Office, NY","EOW: Monday, June 19, 1944",Cause: Gunfire
Guard George T. Preston,"Texas Department of Criminal Justice, TX","EOW: Tuesday, June 20, 1944",Cause: Gunfire
Deputy Sheriff Kenneth Charles Addams,"Stephenson County Sheriff's Office, IL","EOW: Friday, June 23, 1944",Cause: Automobile crash
Chief Deputy Fred Hickson,"Mason County Sheriff's Office, WA","EOW: Thursday, June 29, 1944",Cause: Fall
Trooper George R. Cameron,"Oregon State Police, OR","EOW: Wednesday, July 5, 1944",Cause: Struck by vehicle
"Patrolman Willard E. Pruitt, Jr.","Wilmington Police Department, DE","EOW: Friday, July 7, 1944",Cause: Vehicle pursuit
Chief of Police Dexter A. Millsaps,"Taylorsville Police Department, NC","EOW: Sunday, July 9, 1944",Cause: Gunfire
Patrolman John W. Neal,"Cincinnati Police Department, OH","EOW: Thursday, July 13, 1944",Cause: Motorcycle crash
Policeman William Jim Stallings,"Bowdon Police Department, GA","EOW: Sunday, July 16, 1944",Cause: Gunfire
Deputy Sheriff Edwin A. Mitchell,"Winston County Sheriff's Office, MS","EOW: Monday, July 17, 1944",Cause: Automobile crash
Guard Edwin H. Lichtenberger,"Pennsylvania Department of Corrections, PA","EOW: Monday, July 17, 1944",Cause: Assault
Police Officer Joseph Dardis,"Beacon Police Department, NY","EOW: Monday, July 24, 1944",Cause: Heart attack
Police Officer J. Wesley Moore,"Clendenin Police Department, WV","EOW: Thursday, July 27, 1944",Cause: Gunfire
Patrolman Bryant Kirn Birt,"Gastonia Police Department, NC","EOW: Saturday, July 29, 1944",Cause: Automobile crash
Deputy Constable Silas Johnson,"Floyd County Constable's Office, KY","EOW: Sunday, July 30, 1944",Cause: Gunfire
Patrolman Charlie Vestel Murphy,"Gastonia Police Department, NC","EOW: Tuesday, August 1, 1944",Cause: Heart attack
Patrolman William H. Crutcher,"Tennessee Highway Patrol, TN","EOW: Thursday, August 3, 1944",Cause: Motorcycle crash
Deputy Sheriff Claude Lee Holt,"Cross County Sheriff's Department, AR","EOW: Friday, August 4, 1944",Cause: Gunfire
Trooper Charles J. Deans,"Illinois State Police, IL","EOW: Tuesday, August 8, 1944",Cause: Motorcycle crash
Police Officer Edward O'Brien Pursell,"Pensacola Police Department, FL","EOW: Saturday, August 12, 1944",Cause: Heart attack
Sheriff Roy Patterson,"Barton County Sheriff's Department, MO","EOW: Thursday, August 17, 1944",Cause: Gunfire
"Police Officer David Madison White, Sr.","Bastrop Police Department, LA","EOW: Monday, August 21, 1944",Cause: Assault
Police Officer E. Holt Hammon,"Webster Springs Police Department, WV","EOW: Saturday, September 2, 1944",Cause: Gunfire
Deputy Robert Max Suarez,"Hillsborough County Sheriff's Office, FL","EOW: Sunday, September 3, 1944",Cause: Gunfire
"Deputy Sheriff Thomas M. Plummer, Jr.","Madison County Sheriff's Office, MS","EOW: Sunday, September 17, 1944",Cause: Gunfire
Patrolman John Lynch,"Boston Police Department, MA","EOW: Tuesday, September 19, 1944",Cause: Assault
Narcotics Agent Andrew P. Sanderson,"United States Department of the Treasury - Bureau of Narcotics, US","EOW: Saturday, September 23, 1944",Cause: Automobile crash
Officer Pierce Lee Reeves,"Mobile Police Department, AL","EOW: Sunday, September 24, 1944",Cause: Motorcycle crash
"Detective Ellwood S. Egan, Sr.","Chicago Police Department, IL","EOW: Tuesday, October 3, 1944",Cause: Gunfire (Accidental)
Lieutenant Keith Ellsworth,"Charleston Police Department, SC","EOW: Friday, October 6, 1944",Cause: Gunfire
Patrolman Vadas G. Richardson,"Kentucky Highway Patrol, KY","EOW: Saturday, October 7, 1944",Cause: Gunfire
Police Officer Walter C. Busch,"Tulsa Police Department, OK","EOW: Tuesday, October 10, 1944",Cause: Vehicle pursuit
"Police Officer John Alfred Salters, Sr.","Jasper Police Department, AL","EOW: Friday, October 13, 1944",Cause: Gunfire
Special Deputy Sheriff Elmore David Pressley,"Hamilton County Sheriff's Office, OH","EOW: Saturday, October 21, 1944",Cause: Gunfire
Policeman Efrain Sosa-Almeyda,"Puerto Rico Police Department, PR","EOW: Sunday, October 22, 1944",Cause: Gunfire
Trooper William J. Doolan,"New Jersey State Police, NJ","EOW: Monday, October 23, 1944",Cause: Automobile crash
Sheriff Louis J. Miesner,"Benton County Sheriff's Department, MO","EOW: Wednesday, November 1, 1944",Cause: Gunfire
Officer Lewis Willis Gregg,"California Highway Patrol, CA","EOW: Saturday, November 4, 1944",Cause: Motorcycle crash
Patrolman Stanley J. Jakubowski,"Lancaster Police Department, NY","EOW: Saturday, November 4, 1944",Cause: Automobile crash
Deputy Sheriff Herman Ernest Seabright,"Marshall County Sheriff's Office, WV","EOW: Sunday, November 5, 1944",Cause: Struck by vehicle
Game Protector Clarence J. Webster,"New York State Environmental Conservation Police, NY","EOW: Thursday, November 16, 1944",Cause: Automobile crash
Officer Vincent Eugene Munch,"San Luis Obispo Police Department, CA","EOW: Saturday, November 18, 1944",Cause: Motorcycle crash
Guard Zoeth C. Skaggs,"Illinois Department of Corrections, IL","EOW: Friday, November 24, 1944",Cause: Gunfire (Accidental)
Trooper Francis R. O'Brien,"New Jersey State Police, NJ","EOW: Monday, November 27, 1944",Cause: Fire
Officer George A. Humburg,"California Highway Patrol, CA","EOW: Wednesday, November 29, 1944",Cause: Heart attack
Officer Lee Cole,"Royal Oak City Police Department, MI","EOW: Wednesday, November 29, 1944",Cause: Automobile crash
Patrolman Clarence Bower,"Maywood Police Department, CA","EOW: Tuesday, December 5, 1944",Cause: Motorcycle crash
Patrolman George O'Donnell,"New Orleans Police Department, LA","EOW: Tuesday, December 5, 1944",Cause: Animal related
Officer David R. Henderson,"California Highway Patrol, CA","EOW: Thursday, December 7, 1944",Cause: Motorcycle crash
Deputy Chief of Police Robert Shanley,"Carteret Police Department, NJ","EOW: Thursday, December 7, 1944",Cause: Gunfire
Patrolman John Simon DeRubbo,"Swissvale Borough Police Department, PA","EOW: Thursday, December 7, 1944",Cause: Heart attack
Patrolman Walter Rusinak,"Carteret Police Department, NJ","EOW: Friday, December 8, 1944",Cause: Gunfire
Patrolman Ezra Caldwell,"Chicago Police Department, IL","EOW: Saturday, December 16, 1944",Cause: Gunfire
Patrolman Samuel M. Black,"Chicago Police Department, IL","EOW: Saturday, December 16, 1944",Cause: Gunfire
Trooper Maurice R. Plummer,"Kansas Highway Patrol, KS","EOW: Saturday, December 16, 1944",Cause: Automobile crash
Village Marshal Lee Pena,"Taos Police Department, NM","EOW: Wednesday, December 20, 1944",Cause: Gunfire
Patrolman Arthur Claude Dowdy,"Pasadena Police Department, TX","EOW: Sunday, December 24, 1944",Cause: Struck by vehicle
Detective Anthony J. McGinley,"New York City Police Department, NY","EOW: Wednesday, December 27, 1944",Cause: Gunfire
Police Officer Alexander Bryant McNaughton,"Atlanta Police Department, GA","EOW: Thursday, December 28, 1944",Cause: Vehicular assault
Chief William J. Fitzpatrick,"Albany Police Department, NY","EOW: Friday, January 5, 1945",Cause: Gunfire
Park Guard William A. Doyle,"Fairmount Park Police Department, PA","EOW: Monday, January 8, 1945",Cause: Animal related
Deputy Sheriff Eric Nicholson,"Seminole County Sheriff's Office, OK","EOW: Wednesday, January 10, 1945",Cause: Gunfire
Detective Harry F. Raines,"Daytona Beach Police Department, FL","EOW: Saturday, January 13, 1945",Cause: Gunfire
Police Officer Leo F. Hilenski,"Detroit Police Department, MI","EOW: Tuesday, January 16, 1945",Cause: Gunfire
Police Officer John Jefferson Johnston,"Henry County Police Department, VA","EOW: Saturday, January 27, 1945",Cause: Automobile crash
Deputy Sheriff Atticus Haygood Ellzey,"Levy County Sheriff's Office, FL","EOW: Sunday, January 28, 1945",Cause: Gunfire
Deputy Game Warden Gordon Barnes,"Maryland Natural Resources Police, MD","EOW: Monday, February 5, 1945",Cause: Gunfire
Night Watchman Clarence N. Dotson,"Wickenburg Police Department, AZ","EOW: Wednesday, February 7, 1945",Cause: Gunfire
Patrolman Frank B. Callahan,"Boston Police Department, MA","EOW: Tuesday, February 20, 1945",Cause: Gunfire
Customs Agent John Fasset,"United States Department of the Treasury - Customs Service, US","EOW: Wednesday, February 21, 1945",Cause: Heart attack
Customs Agent George E. Spencer,"United States Department of the Treasury - Customs Service, US","EOW: Saturday, February 24, 1945",Cause: Drowned
Special Agent Anthony Cozza,"United States Department of the Treasury - Customs Service, US","EOW: Saturday, February 24, 1945",Cause: Heart attack
Patrolman Albert S. Black,"New York City Police Department, NY","EOW: Thursday, March 1, 1945",Cause: Fire
"Officer William J. Weston, Jr.","Metropolitan Police Department, DC","EOW: Sunday, March 4, 1945",Cause: Gunfire
Guard Herbert Orlando Parsell,"Connecticut Department of Correction, CT","EOW: Friday, March 9, 1945",Cause: Assault
Captain Alfred Basler,"Brownsville Police Department, TX","EOW: Friday, March 9, 1945",Cause: Gunfire
Deputy City Marshal Tobe E. DeRacy,"Pecos Police Department, TX","EOW: Saturday, March 10, 1945",Cause: Stabbed
Detective Lemuel Dodd Savage,"Amarillo Police Department, TX","EOW: Thursday, March 15, 1945",Cause: Gunfire
Sergeant Charles H. Bridgeman,"Los Angeles Police Department, CA","EOW: Friday, March 16, 1945",Cause: Gunfire (Accidental)
Patrolman Arthur Andrew MacDonald,"Pittsburgh Police Department, PA","EOW: Friday, March 16, 1945",Cause: Heart attack
Patrolman Harold W. Irwin,"Long Beach Police Department, CA","EOW: Tuesday, March 20, 1945",Cause: Motorcycle crash
Marshal Wayne Magill,"Georgetown Police Department, TX","EOW: Wednesday, March 28, 1945",Cause: Struck by vehicle
Policeman John Ferdinand Schaefer,"Philadelphia Police Department, PA","EOW: Saturday, March 31, 1945",Cause: Automobile crash
Patrolman Edgar Claude Smith,"Salinas Police Department, CA","EOW: Sunday, April 1, 1945",Cause: Motorcycle crash
Officer Raymond Henry Berry,"California Highway Patrol, CA","EOW: Sunday, April 8, 1945",Cause: Heart attack
Patrolman Louis Box,"Rocky Ford Police Department, CO","EOW: Wednesday, April 18, 1945",Cause: Stabbed
Chief of Police Edward Wiley Fox,"Evarts Police Department, KY","EOW: Thursday, April 19, 1945",Cause: Gunfire
Sheriff S. Marion Bliss,"Carbon County Sheriff's Department, UT","EOW: Monday, April 23, 1945",Cause: Gunfire (Accidental)
Patrolman Jacob Szwedowski,"New York City Police Department, NY","EOW: Sunday, April 29, 1945",Cause: Gunfire (Accidental)
Sergeant Theodore R. Chambers,"Oregon State Police, OR","EOW: Sunday, April 29, 1945",Cause: Gunfire
Police Officer Clarence M. Bean,"Ogden Police Department, UT","EOW: Tuesday, May 1, 1945",Cause: Assault
"Chief of Police Lester Arthur ""Chester"" Shearhart","Vinita Police Department, OK","EOW: Friday, May 4, 1945",Cause: Gunfire
Patrolman Eugene L. Reid,"Chicago Police Department, IL","EOW: Monday, May 7, 1945",Cause: Gunfire
Officer Norman A. Kessler,"California Highway Patrol, CA","EOW: Thursday, May 17, 1945",Cause: Motorcycle crash
Chief of Police Robert Rion Gilliam,"Whitmire Police Department, SC","EOW: Saturday, May 19, 1945",Cause: Gunfire
Assistant Chief of Police William Earl Evans,"Whitmire Police Department, SC","EOW: Saturday, May 19, 1945",Cause: Gunfire
Patrolman Gordon R. McAllister,"St. Clair Shores Police Department, MI","EOW: Sunday, May 20, 1945",Cause: Vehicle pursuit
Patrolman Harry Hartsel Davis,"St. Clair Shores Police Department, MI","EOW: Sunday, May 20, 1945",Cause: Vehicle pursuit
Deputy Sheriff Will George,"Caddo Parish Sheriff's Office, LA","EOW: Thursday, May 24, 1945",Cause: Gunfire
Trooper Sam Mangiamele,"Illinois State Police, IL","EOW: Friday, May 25, 1945",Cause: Motorcycle crash
Camp Superintendent H. Carl Keith,"North Carolina Department of Public Safety - Division of Prisons, NC","EOW: Friday, May 25, 1945",Cause: Gunfire
Patrolman Thomas J. Hanlin,"Washington State Patrol, WA","EOW: Saturday, May 26, 1945",Cause: Automobile crash
Patrolman Willard H. Santel,"Reading Police Department, OH","EOW: Tuesday, May 29, 1945",Cause: Vehicle pursuit
Chief of Police Ralph Clair Herrod,"Westmont Borough Police Department, PA","EOW: Wednesday, May 30, 1945",Cause: Animal related
Refuge Officer Joseph Daniel Martin,"United States Department of the Interior - Fish and Wildlife Service - Division of Refuge Law Enforcement, US","EOW: Saturday, June 2, 1945",Cause: Gunfire
Refuge Officer Andrew Bryant Crews,"United States Department of the Interior - Fish and Wildlife Service - Division of Refuge Law Enforcement, US","EOW: Saturday, June 2, 1945",Cause: Gunfire
"Deputy Sheriff William J. Pottow, Jr.","Cook County Highway Police, IL","EOW: Wednesday, June 6, 1945",Cause: Automobile crash
Deputy Sheriff Leonard Alvin Hurwitz,"Cook County Highway Police, IL","EOW: Saturday, June 9, 1945",Cause: Automobile crash
Patrolman Carl O. Nystrom,"Tomahawk Police Department, WI","EOW: Saturday, June 9, 1945",Cause: Gunfire
Sheriff Charles Alton Grinnell,"Darlington County Sheriff's Office, SC","EOW: Monday, June 11, 1945",Cause: Automobile crash
Motor Officer Lawrence Larue Sills,"Woodland Police Department, CA","EOW: Wednesday, June 13, 1945",Cause: Motorcycle crash
Trooper Loyal M. Zink,"Nebraska State Patrol, NE","EOW: Wednesday, June 13, 1945",Cause: Vehicle pursuit
Undersheriff Benjamin L. Goorman,"Arapahoe County Sheriff's Office, CO","EOW: Wednesday, June 20, 1945",Cause: Gunfire
Patrolman William Albert Drury,"Jeffersonville Police Department, IN","EOW: Wednesday, June 20, 1945",Cause: Gunfire
Border Patrol Inspector Earl F. Fleckiger,"United States Department of Justice - Immigration and Naturalization Service - United States Border Patrol, US","EOW: Saturday, June 23, 1945",Cause: Gunfire
Detective Morris Friedman,"Chicago Police Department, IL","EOW: Monday, June 25, 1945",Cause: Gunfire
Officer James B. Dalziel,"California Highway Patrol, CA","EOW: Saturday, June 30, 1945",Cause: Motorcycle crash
Deputy Sheriff Edwart W. Stelling,"Shelby County Sheriff's Office, TN","EOW: Saturday, June 30, 1945",Cause: Gunfire
Patrolman Joseph W. Herzog,"Austin Police Department, MN","EOW: Sunday, July 1, 1945",Cause: Struck by vehicle
Patrolman Melvon Litton Huff,"Kansas City Police Department, MO","EOW: Wednesday, July 4, 1945",Cause: Motorcycle crash
Patrolman Virgil M. Hall,"Denver Police Department, CO","EOW: Thursday, July 5, 1945",Cause: Gunfire
Deputy Constable Juan Novoa,"Webb County Constable's Office - Precinct 1, TX","EOW: Saturday, July 7, 1945",Cause: Gunfire
Patrolman William J. Costello,"Pennsylvania Railroad Police Department, RR","EOW: Wednesday, July 11, 1945",Cause: Heart attack
Police Officer R. Shelly Kendrick,"Bessemer Police Department, AL","EOW: Thursday, July 12, 1945",Cause: Gunfire
Officer James H. Vande Weg,"California Highway Patrol, CA","EOW: Thursday, July 12, 1945",Cause: Motorcycle crash
Trooper John N. Greim,"Missouri State Highway Patrol, MO","EOW: Friday, July 13, 1945",Cause: Aircraft accident
Sergeant Cornelius A. O'Donnell,"New Jersey State Police, NJ","EOW: Monday, July 16, 1945",Cause: Gunfire
Special Deputy Sheriff Burke Williams,"Grant County Sheriff's Department, IN","EOW: Tuesday, July 17, 1945",Cause: Gunfire (Accidental)
Trooper Kenneth B. Knapp,"New York State Police, NY","EOW: Tuesday, July 17, 1945",Cause: Gunfire
Deputy Sheriff James W. Cranston,"Genesee County Sheriff's Department, MI","EOW: Thursday, July 26, 1945",Cause: Struck by vehicle
Marshal John Gilbert Hilsinger,"La Conner Police Department, WA","EOW: Friday, July 27, 1945",Cause: Electrocuted
Patrolman Howard H. Hegerich,"New York City Police Department, NY","EOW: Monday, July 30, 1945",Cause: Gunfire
Policeman Everett Luke Dutcher,"Cedar Falls Police Department, IA","EOW: Tuesday, July 31, 1945",Cause: Struck by train
Deputy Sheriff Raymond Wenner,"Brown County Sheriff's Office, WI","EOW: Wednesday, August 1, 1945",Cause: Motorcycle crash
Officer Dominick DiGuglielmo,"Pleasantville Police Department, NY","EOW: Saturday, August 18, 1945",Cause: Motorcycle crash
Guard William Henry Hunt,"Florida State Road Department - State Convict Road Force, FL","EOW: Tuesday, August 28, 1945",Cause: Gunfire
Police Officer Samuel Violin,"Panama Canal Zone Police Department, CZ","EOW: Tuesday, August 28, 1945",Cause: Vehicular assault
Chief of Police Elisha A. Wilson,"Eastover Police Department, SC","EOW: Thursday, August 30, 1945",Cause: Gunfire
Patrolman George H. Helstern,"Chicago Police Department, IL","EOW: Sunday, September 2, 1945",Cause: Gunfire
Patrolman Charles A. Brady,"Chicago Police Department, IL","EOW: Monday, September 3, 1945",Cause: Gunfire
"Park Police Officer Spencer Thornton, Jr.","Chicago Park District Police Department, IL","EOW: Monday, September 3, 1945",Cause: Gunfire
Patrolman Kermit Leonard Nipple,"Clarksville Police Department, TN","EOW: Sunday, September 9, 1945",Cause: Fire
Police Officer John B. Bealefeld,"Baltimore City Police Department, MD","EOW: Monday, September 10, 1945",Cause: Duty related illness
Officer Harold E. Nichols,"California Highway Patrol, CA","EOW: Wednesday, September 12, 1945",Cause: Motorcycle crash
Patrolman George B. Eickmeyer,"Tipp City Police Department, OH","EOW: Friday, September 14, 1945",Cause: Struck by train
Patrolman Frederick L. Braud,"New Orleans Police Department, LA","EOW: Monday, September 17, 1945",Cause: Motorcycle crash
Special Officer John Phillip Barber,"Dallas Terminal Railway Company Police Department, RR","EOW: Friday, September 21, 1945",Cause: Gunfire
Detective Lewis Hauschild,"East Cleveland Police Department, OH","EOW: Saturday, September 22, 1945",Cause: Vehicular assault
Detective Frank McGrath,"New York City Police Department, NY","EOW: Thursday, September 27, 1945",Cause: Assault
Chief Deputy Sheriff Howard Hamilton Knott,"Kern County Sheriff's Department, CA","EOW: Saturday, October 6, 1945",Cause: Weather/Natural disaster
Sergeant Alphonse H. Kemper,"Detroit Police Department, MI","EOW: Wednesday, October 10, 1945",Cause: Gunfire
Policeman Isaac L. Lankford,"Los Angeles Police Department, CA","EOW: Sunday, October 14, 1945",Cause: Motorcycle crash
Jailer Albert Kingsly Parker,"Cameron County Sheriff's Office, TX","EOW: Sunday, October 14, 1945",Cause: Assault
"Marshal Alonzo Theodore ""Lon"" Larsen","Mount Pleasant Police Department, UT","EOW: Monday, October 15, 1945",Cause: Gunfire
Trooper First Class Paul H. Sherman,"Delaware State Police, DE","EOW: Tuesday, October 16, 1945",Cause: Struck by train
Police Investigator Otto S. Hillock,"San Antonio Police Department, TX","EOW: Thursday, October 18, 1945",Cause: Motorcycle crash
Constable Alvy Pharris,"Anderson County Constable's Office - Precinct 2, TX","EOW: Saturday, October 20, 1945",Cause: Gunfire
Motorcycle Officer Roy W. Costello,"Chicago Police Department, IL","EOW: Thursday, October 25, 1945",Cause: Motorcycle crash
Patrolman James E. Bussey,"New York City Police Department, NY","EOW: Sunday, October 28, 1945",Cause: Gunfire
Agent Bill Lakanen,"Wyoming Department of Game and Fish, WY","EOW: Wednesday, October 31, 1945",Cause: Gunfire
Agent Don Simpson,"Wyoming Department of Game and Fish, WY","EOW: Wednesday, October 31, 1945",Cause: Gunfire
Officer James A. Hines,"Portland Police Bureau, OR","EOW: Sunday, November 4, 1945",Cause: Struck by vehicle
Deputy Sheriff Willie Bazel Jones,"Candler County Sheriff's Office, GA","EOW: Wednesday, November 7, 1945",Cause: Gunfire
Sheriff Tom Watson Brantley,"Candler County Sheriff's Office, GA","EOW: Wednesday, November 7, 1945",Cause: Gunfire
Police Officer Carl F. Siegmann,"Caldwell Police Department, ID","EOW: Sunday, November 11, 1945",Cause: Struck by vehicle
Sergeant Albert William Bowe,"Multnomah County Sheriff's Office, OR","EOW: Thursday, November 15, 1945",Cause: Gunfire
Police Officer Frederick H. Hull,"Seattle Police Department, WA","EOW: Thursday, November 15, 1945",Cause: Gunfire
Patrolman Francis McKeon,"New York City Police Department, NY","EOW: Saturday, November 17, 1945",Cause: Gunfire
